x,y,x_error,y_error
5314.29,8152.25,0.11,0
5486.79,7746.81,-0.1,-0.01
5558.58,8135.34,0.1,0
5570.76,7823.78,-0.02,0
5642.65,8214.8,0.02,0
5643.86,7761.78,0.15,0.02
5715.74,8147.32,-0.15,0
5863.79,7812.74,-0.16,-0.02
5934.52,8177.34,0.16,0
6596.79,7815.81,-0.1,-0.01
6665.55,8111.36,0.1,0
6773.78,7736.81,-0.01,0
6842.03,7997.72,0.01,0
7539,28082,0.2,0.22
7606.67,28170.05,0.05,0.27
7539.8,7758.81,-0.09,-0.21
7605.85,7842.45,-0.16,-0.27
7892,28051,0.22,0.22
7958.54,28094.88,0.1,-0.06
7892.8,7727.79,-0.07,-0.2
7957.87,7766.63,-0.25,0.05
8325,28107,0.04,0.19
8390.21,28118.47,0.12,0.16
8325.77,7783.78,-0.23,-0.21
8389.24,7790.65,0.07,-0.16
8424,28157,0.03,0.21
8489.19,28158.51,-0.04,0.13
8424.71,7833.82,-0.18,-0.23
8487.95,7830.63,0.18,-0.13
8614,28072,0.18,0.23
8678.54,28060.76,0.01,0.23
8614.8,7748.83,-0.13,-0.22
8677.61,7733.09,-0.06,-0.23
8859,28084,0.16,0.02
8922.99,28038.23,-0.16,-0.01
8950,28112,0.22,0.21
9013.74,28061.88,-0.04,0.06
8950.78,7788.79,-0.07,-0.19
9012.8,7733.87,-0.11,-0.06
9072,28105,0.2,0.2
9135.36,28045.73,-0.05,0.37
9072.76,7781.78,-0.08,-0.19
9134.37,7718.35,-0.06,-0.38
9161,28054,0.16,0.02
9224.03,27974.61,-0.15,-0.01
9547,28145,0.18,0.2
9609.03,28015.52,-0.06,0.17
9547.75,7821.79,-0.09,-0.19
9608.01,7687.74,-0.03,-0.18
10571,28121,0.08,0.2
10629.79,27960.25,0.13,0.21
10571.8,7797.82,-0.26,-0.22
10628.9,7632.55,0.04,-0.21
11035,28127,0.17,0.22
11092.78,28024.21,0.03,0.1
11035.77,7803.84,-0.15,-0.21
11091.87,7696.29,-0.05,-0.1
11120,28089,0.08,0.19
11177.25,27978.71,0.13,0.3
11120.78,7765.82,-0.26,-0.22
11176.34,7651.19,0.05,-0.3
13210,28080,0.22,0.03
13261.68,27785.97,-0.22,-0.01
13858,28087,0.25,0.22
